gene,assigned_cluster,dist_to_cluster_0,dist_to_cluster_1,dist_to_cluster_2,dist_to_cluster_3,mean_distance,max_distance,min_distance,distance_std
Zfpm2,1,1.205044064508919,0.8899652799146993,1.2315798460084382,1.2583678391046218,1.1462392573841698,1.2583678391046218,0.8899652799146993,0.17223065133165497
Gata6,0,0.9550152519639952,1.1240396694030188,1.1889278353209365,1.2585767994204595,1.1316398890271024,1.2585767994204595,0.9550152519639952,0.12993448832236582
Smad6,2,1.1671358952740432,1.2100333330700033,0.8930171816064755,1.2618969246204157,1.1330208336427343,1.2618969246204157,0.8930171816064755,0.16462640767767922
Actc1,3,1.171233426736067,1.2158761287223498,1.2621859320375906,0.9662039427024998,1.153874857549627,1.2621859320375906,0.9662039427024998,0.1305081589882778
Mesp1,3,1.1842660081653478,1.2733456465196529,1.1655618970974253,1.0137499559677263,1.159230876937538,1.2733456465196529,1.0137499559677263,0.10778639155734877
Mybpc3,2,1.0320135262553491,1.2912302493079633,0.8645940938835337,1.2560509780125184,1.110972211864841,1.2912302493079633,0.8645940938835337,0.2003974879275088
Smarce1,1,1.3067649648438218,0.947106396701203,1.127040403832181,1.1361737066670248,1.1292713680110578,1.3067649648438218,0.947106396701203,0.14690209116850703
Nr2f2,0,0.7976949696680297,1.3103388041282316,1.2702699046283796,1.161748611728775,1.1350130725383538,1.3103388041282316,0.7976949696680297,0.233475062454496
Nkx2-5,0,0.9425324465186552,1.313284277224987,1.189275233001155,1.1251189030042787,1.142552714937269,1.313284277224987,0.9425324465186552,0.15453619385352665
Flt4,2,1.2507764501404195,1.0295013439813396,0.8181386439858253,1.317771303267271,1.104046935343714,1.317771303267271,0.8181386439858253,0.22694217487835538
Dnah11,3,1.171289595717559,1.2813395105774168,1.3219853142708229,0.863568920690742,1.1595458353141352,1.3219853142708229,0.863568920690742,0.20733269042471675
Smad4,3,1.306928493667107,1.24919817826853,1.3222400743393807,0.849151061470733,1.1818794519364377,1.3222400743393807,0.849151061470733,0.22403746702726146
Meis2,2,1.3300952003144462,1.1617933102872668,0.6889970662087048,1.2865553368346865,1.116860228411276,1.3300952003144462,0.6889970662087048,0.29402463076089225
Myh11,3,1.105175944576563,1.3398011929685774,1.3211057084044426,0.8607830889762103,1.1567164837314483,1.3398011929685774,0.8607830889762103,0.22418506436481456
Tfap2b,2,1.2883732723381875,1.0438591141998528,0.7882106617558908,1.3454569148540283,1.1164749907869898,1.3454569148540283,0.7882106617558908,0.2549590006232726
Aldh1a2,1,1.3538627109592658,0.7060041436072214,1.284707616667384,1.215694999350171,1.1400673676460105,1.3538627109592658,0.7060041436072214,0.2948217945355724
Plxnd1,2,1.3600875138803976,0.9729002964729416,0.8191646898302143,1.3378225683875378,1.1224937671427728,1.3600875138803976,0.8191646898302143,0.2690749689489677
Arid1b,1,1.3610802229550465,0.9611195905163968,1.2313713041872136,1.1279477505618165,1.1703797170551185,1.3610802229550465,0.9611195905163968,0.16899401270545153
Smad3,1,1.3613391186984554,0.6973745136029018,1.1972256049093166,1.2531170181221345,1.127264063833202,1.3613391186984554,0.6973745136029018,0.29457864826470265
Tbx3,0,0.8414370128961682,1.3627606626328024,1.354781746451775,1.0823001279633335,1.1603198874860199,1.3627606626328024,0.8414370128961682,0.24937993277802198
