pathway,with,without,with_ratio,without_ratio,ratio_diff
NEURON PROJECTION EXTENSION,11,4,0.4782608695652174,0.11428571428571428,0.36397515527950314
DEVELOPMENTAL GROWTH INVOLVED IN MORPHOGENESIS,15,11,0.6521739130434783,0.3142857142857143,0.337888198757764
REGULATION OF MYELOID CELL DIFFERENTIATION,8,2,0.34782608695652173,0.05714285714285714,0.29068322981366457
B CELL APOPTOTIC PROCESS,7,1,0.30434782608695654,0.02857142857142857,0.27577639751552796
REGULATION OF B CELL APOPTOTIC PROCESS,7,1,0.30434782608695654,0.02857142857142857,0.27577639751552796
NEGATIVE REGULATION OF MUSCLE ADAPTATION,8,3,0.34782608695652173,0.08571428571428572,0.262111801242236
POSITIVE REGULATION OF DNA DAMAGE RESPONSE SIGNAL TRANSDUCTION BY P53 CLASS MEDIATOR,6,0,0.2608695652173913,0.0,0.2608695652173913
PERICARDIUM DEVELOPMENT,13,11,0.5652173913043478,0.3142857142857143,0.2509316770186335
NEGATIVE REGULATION OF CELL COMMUNICATION,9,5,0.391304347826087,0.14285714285714285,0.24844720496894412
CELLULAR RESPONSE TO ALKALOID,7,2,0.30434782608695654,0.05714285714285714,0.2472049689440994
LOCOMOTION,10,7,0.43478260869565216,0.2,0.23478260869565215
DEPHOSPHORYLATION,8,4,0.34782608695652173,0.11428571428571428,0.23354037267080746
LIMB BUD FORMATION,8,4,0.34782608695652173,0.11428571428571428,0.23354037267080746
SPROUTING ANGIOGENESIS,8,4,0.34782608695652173,0.11428571428571428,0.23354037267080746
REGULATION OF NON CANONICAL WNT SIGNALING PATHWAY,6,1,0.2608695652173913,0.02857142857142857,0.23229813664596272
POSITIVE REGULATION OF ERYTHROCYTE DIFFERENTIATION,6,1,0.2608695652173913,0.02857142857142857,0.23229813664596272
SEMAPHORIN PLEXIN SIGNALING PATHWAY,13,12,0.5652173913043478,0.34285714285714286,0.22236024844720492
REGULATION OF MOLECULAR FUNCTION,11,9,0.4782608695652174,0.2571428571428571,0.2211180124223603
ACTIN FILAMENT DEPOLYMERIZATION,11,9,0.4782608695652174,0.2571428571428571,0.2211180124223603
DENDRITIC SPINE DEVELOPMENT,11,9,0.4782608695652174,0.2571428571428571,0.2211180124223603
POSITIVE REGULATION OF MITOTIC CELL CYCLE,9,6,0.391304347826087,0.17142857142857143,0.21987577639751554
GENERATION OF NEURONS,10,8,0.43478260869565216,0.22857142857142856,0.2062111801242236
CELL MORPHOGENESIS,10,8,0.43478260869565216,0.22857142857142856,0.2062111801242236
RESPONSE TO HORMONE,8,5,0.34782608695652173,0.14285714285714285,0.20496894409937888
POSITIVE REGULATION OF PROTEIN SECRETION,6,2,0.2608695652173913,0.05714285714285714,0.20372670807453416
EXTRACELLULAR REGULATION OF SIGNAL TRANSDUCTION,6,2,0.2608695652173913,0.05714285714285714,0.20372670807453416
HETEROTYPIC CELL CELL ADHESION,6,2,0.2608695652173913,0.05714285714285714,0.20372670807453416
CELL MIGRATION,11,10,0.4782608695652174,0.2857142857142857,0.1925465838509317
NEGATIVE REGULATION OF MUSCLE HYPERTROPHY,9,7,0.391304347826087,0.2,0.19130434782608696
NEURON DEVELOPMENT,9,7,0.391304347826087,0.2,0.19130434782608696
